"Var1"	"Freq"
"Circulating phylloquinone levels"	5
"Contrast sensitivity"	5
"Creatinine levels"	5
"Cutaneous nevi"	5
"Egg allergy"	5
"Erythema nodosum in inflammatory bowel disease"	5
"Erythrocyte sedimentation rate"	5
"Fetal hemoglobin levels"	5
"Food allergy"	5
"Formal thought disorder in schizophrenia"	5
"Freckles"	5
"Functional impairment in major depressive disorder, bipolar disorder and schizophrenia"	5
"Gallbladder cancer"	5
"Gambling"	5
"Glaucoma (primary angle closure)"	5
"Hearing function"	5
"Hepatitis B vaccine response"	5
"Hepatitis C induced liver cirrhosis"	5
"Hip circumference (psychosocial stress interaction)"	5
"Hyperopia"	5
"Hypersomnia (HLA-DQB1*06:02 negative)"	5
"Immunoglobulin G index levels in multiple sclerosis"	5
"Iron status biomarkers (ferritin levels)"	5
"Iron status biomarkers (iron levels)"	5
"Lp (a) levels"	5
"Lung function (forced expiratory volume in 1 second to forced vital capacity ratio)"	5
"Male fertility"	5
"Male infertility"	5
"Mammographic density"	5
"Milk allergy"	5
"Molar-incisor hypomineralization"	5
"Morbidity-free survival"	5
"Multiple sclerosis--Brain Glutamate Levels"	5
"Neonatal lupus"	5
"Non-albumin protein levels"	5
"Non-obstructive azoospermia"	5
"Non-word repetition"	5
"Normalized brain volume"	5
"Obsessive-compulsive disorder"	5
"Oligoclonal band status in multiple sclerosis"	5
"Orthostatic hypotension"	5
"Osteoarthritis (hip)"	5
"Pancreatitis"	5
"Parkinson's disease (age of onset)"	5
"Parkinson's disease (motor and cognition)"	5
"Peripheral artery disease"	5
"Phosphorus levels"	5
"Plasma homocysteine levels (post-methionine load test)"	5
"Plasma plasminogen activator levels"	5
"Psoriatic arthritis"	5
"Recombination measurement"	5
"Resistin levels"	5
"Response to acetaminophen (hepatotoxicity)"	5
"Response to angiotensin II receptor blocker therapy (opposite direction w/ diuretic therapy)"	5
"Response to anti-TNF treatment in rheumatoid arthritis"	5
"Response to gemcitabine in pancreatic cancer"	5
"Response to mTOR inhibitor (rapamycin)"	5
"Retinal vascular caliber"	5
"Schizophrenia, bipolar disorder and depression (combined)"	5
"Schizophrenia, schizoaffective disorder or bipolar disorder"	5
"Sexual dysfunction (SSRI/SNRI-related)"	5
"Sj**gren's syndrome"	5
"Sleep time"	5
"Sleep-related phenotypes"	5
"Smoking cessation"	5
"Soluble levels of adhesion molecules"	5
"Spontaneous preterm birth (preterm birth)"	5
"Thyroid peroxidase antibody levels"	5
"Two-hour glucose challenge"	5
"Upper aerodigestive tract cancers"	5
"Urinary metabolites"	5
"Urinary uromodulin levels"	5
"Uterine fibroids"	5
"Vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia"	5
"Volumetric brain MRI"	5
"White matter microstructure (global fractional anisotropy)"	5
"Abdominal aortic aneurysm"	4
"Acenocoumarol maintenance dosage"	4
"ADAMTS13 activity"	4
"Adverse response to chemotherapy (neutropenia/leucopenia) (5-fluorouracil)"	4
"Adverse response to chemotherapy (neutropenia/leucopenia) (etoposide)"	4
"Adverse response to chemotherapy in breast cancer (alopecia) (docetaxel)"	4
"Amyloid A serum levels"	4
"Blue vs. green eyes"	4
"Brain lesion load"	4
"Brain structure (hippocampal volume)"	4
"Cardiac repolarization"	4
"Cardiac structure and function"	4
"Carotid plaque burden (smoking interaction)"	4
"Chronic kidney disease and serum creatinine levels"	4
"Crohn's disease and psoriasis"	4
"Dengue shock syndrome"	4
"Diabetes related insulin traits"	4
"Diastolic blood pressure (alcohol consumption interaction)"	4
"Esophageal cancer  (alcohol interaction)"	4
"Esophageal cancer and gastric cancer"	4
"Exercise treadmill test traits"	4
"Exfoliation syndrome"	4
"Facial pigmentation"	4
"Factor VII"	4
"Fasting insulin-related traits"	4
"Febrile seizures (MMR vaccine-unrelated)"	4
"Freckling"	4
"Gamma gluatamyl transferase levels"	4
"Gene methylation in lung tissue"	4
"Heart rate variability traits"	4
"Hepatic lipid content in extreme obesity"	4
"Hepatitis B (viral clearance)"	4
"HIV-associated dementia"	4
"Hypertension (young onset)"	4
"IgE levels in asthmatics"	4
"Ileal carcinoids"	4
"Inflammatory bowel disease (early onset)"	4
"Irritable bowel syndrome"	4
"Keloid"	4
"Left inferior lateral ventricle volume (Cerebrospinal fluid biomarker status interaction)"	4
"Longevity (85 years and older)"	4
"Marginal zone lymphoma"	4
"Matrix metalloproteinase levels"	4
"Maximal oxygen uptake response"	4
"Myopia"	4
"Narcolepsy with cataplexy"	4
"Nicotine dependence"	4
"Non-alcoholic fatty liver disease"	4
"Non-melanoma skin cancer"	4
"Non-substance related behavioral disinhibition"	4
"Opioid sensitivity"	4
"Osteoarthritis biomarkers"	4
"Osteoprotegerin levels"	4
"Other erythrocyte phenotypes"	4
"Pain"	4
"Parent of origin effect on language impairment (paternal)"	4
"PCA3 expression level"	4
"Permanent tooth development"	4
"Plasma plasminogen levels"	4
"Plasminogen activator inhibitor type 1 levels (PAI-1)"	4
"Pulse pressure (alcohol consumption interaction)"	4
"Renal function and chronic kidney disease"	4
"Renal function-related traits (urea)"	4
"Renal transplant outcome"	4
"Response to anti-TNF alpha therapy in inflammatory bowel disease"	4
"Rhegmatogenous retinal detachment"	4
"Serum alkaline phosphatase levels"	4
"Serum selenium levels"	4
"Serum tamsulosin hydrochloride concentration"	4
"Sickle cell anemia (haemolysis)"	4
"Skin sensitivity to sun"	4
"Staphylococcus aureus infection"	4
"Stroke (pediatric)"	4
"Suicidal ideation"	4
"Suicide in bipolar disorder"	4
"Suicide risk"	4
"Sunburns"	4
"Thrombin generation potential phenotypes"	4
"Thyroid function"	4
"Thyroid stimulating hormone"	4
"Type 2 diabetes (dietary heme iron intake interaction)"	4
"Vascular endothelial growth factor levels"	4
"Very long-chain saturated fatty acid levels (fatty acid 24:0)"	4
"Vogt-Koyanagi-Harada syndrome"	4
"Waist circumference and related phenotypes"	4
"White matter hyperintensity volume in cerebral autosomal-dominant arteriopathy with subcortical infarcts and leukoencephalopathy"	4
"Adverse response to chemotherapy (neutropenia/leucopenia) (camptothecin)"	3
"Adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)"	3
"Adverse response to chemotherapy (neutropenia/leucopenia) (doxorubicin)"	3
"Adverse response to chemotherapy in breast cancer (alopecia)"	3
"Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+epirubicin+/-5FU)"	3
"Adverse response to radiation therapy"	3
"Age-related cataracts"	3
"Age-related cataracts (age at onset)"	3
"Age-related macular degeneration (extreme sampling)"	3
"Age-related macular degeneration (smoking status interaction)"	3
"Aging (time to death)"	3
"Alcohol consumption (maxi-drinks)"	3
"Antipsychotic-induced QTc interval prolongation"	3
"Anxiety and major depressive disorder"	3
"Apolipoprotein Levels"	3
"Asthma (bronchodilator response)"	3
"Asthma (toluene diisocyanate-induced)"	3
"Asthma or chronic obstructive pulmonary disease"	3
"Autoimmune hepatitis type-1"	3
"Beta thalassemia/hemoglobin E disease"	3
"Biliary atresia"	3
"Bitter taste perception"	3
"Bleomycin sensitivity"	3
"Blood pressure (age interaction)"	3
"Body mass index (education interaction)"	3
"Breast cancer (male)"	3
"Brugada syndrome"	3
"Butyrylcholinesterase levels"	3
"Callous-unemotional behaviour"	3
"Cardiac muscle measurement"	3
"Circulating myeloperoxidase levels (plasma)"	3
"Colorectal cancer (calcium intake interaction)"	3
"Congenital left-sided heart lesions"	3
"Cortical thickness"	3
"Diabetes (gestational)"	3
"Drinking behavior"	3
"Endothelial growth factor levels"	3
"Event-related brain oscillations"	3
"Ewing sarcoma"	3
"Exercise (leisure time)"	3
"Eye color traits"	3
"Fibrinogen levels (smoking status, alcohol consumption or body mass index interaction)"	3
"Free thyroxine concentration"	3
"Frontotemporal dementia"	3
"Gaucher disease severity"	3
"General cognitive ability"	3
"Gray matter volume (schizophrenia interaction)"	3
"Hashimoto thyroiditis versus Graves' disease"	3
"Head circumference (infant)"	3
"Hemoglobin A2 levels in sickle cell anemia"	3
"Hoarding"	3
"Hypertension risk in short sleep duration"	3
"IgE levels in asthmatics (D.p. specific)"	3
"IgM levels"	3
"Insomnia"	3
"Knee osteoarthritis"	3
"Monocyte chemoattractant protein-1"	3
"Monocyte early outgrowth colony forming units"	3
"Musician's dystonia"	3
"Narcolepsy (age of onset)"	3
"Natriuretic peptide levels"	3
"Nephrolithiasis"	3
"Nevirapine-induced rash"	3
"Optic disc parameters"	3
"Optic nerve measurement (cup-to-disc ratio)"	3
"Osteoporosis"	3
"Overweight status"	3
"P wave duration"	3
"Phytosterol levels"	3
"Plasma renin activity levels"	3
"Plasma thyroid-stimulating hormone levels"	3
"Pneumoconiosis in silica exposure"	3
"Pulmonary emphysema"	3
"Relative hand skill"	3
"Response to alcohol consumption (flushing response)"	3
"Response to antidepressant treatment (citalopram)"	3
"Response to chemotherapy in breast cancer (hypertension) (bevacizumab)"	3
"Response to cholinesterase inhibitors in Alzheimer's disease"	3
"Response to diuretic therapy"	3
"Response to platinum-based agents"	3
"Sarcoidosis"	3
"Schizophrenia (negative symptoms)"	3
"Schizophrenia (treatment resistant)"	3
"Scoliosis"	3
"Serum vitamin D-binding protein levels"	3
"Sexual dysfunction (female)"	3
"Skin pigmentation"	3
"Suicide attempts in bipolar disorder"	3
"Suicide attempts in depression or bipolar disorder"	3
"Testicular cancer"	3
"Urinary albumin excretion"	3
"Vitamin D insufficiency"	3
"Vitamin E levels"	3
"Adolescent idiopathic scoliosis"	2
"Alcoholism (12-month weekly alcohol consumption)"	2
"Allergic dermatitis (nickel)"	2
"Angiotensin-converting enzyme activity"	2
"Ankle-brachial index"	2
"Arsenic metabolism"	2
"Asthma (corticosteroid response)"	2
"Atrial fibrillation/atrial flutter"	2
"B-type natriuretic peptide"	2
"Binge eating behaviour and bipolar disorder"	2
"Bipolar disorder (age of onset and psychotic symptoms)"	2
"Bipolar I disorder"	2
"Birdshot chorioretinopathy"	2
"Blood pressure (anthropometric measures interaction)"	2
"Body mass (lean)"	2
"Body mass index and cholesterol (psychopharmacological treatment)"	2
"Brain cytoarchitecture"	2
"Brain imaging"	2
"Breast cancer (menopausal hormone therapy interaction)"	2
"Burning and freckling"	2
"Carotenoid and tocopherol levels"	2
"Cataracts in type 2 diabetes"	2
"Caudate nucleus volume"	2
"CD4:CD8 lymphocyte ratio"	2
"Cerebrospinal AB1-42 levels in Alzheimer's disease dementia"	2
"Chronic myeloid leukemia"	2
"Chronic periodontitis"	2
"Cleft lip"	2
"Cognitive decline"	2
"Comprehensive strength and appendicular lean mass"	2
"Congenital heart disease"	2
"Congenital heart malformation"	2
"Creatine kinase in statin users"	2
"Creutzfeldt-Jakob disease"	2
"Crohn's disease (need for surgery)"	2
"Crohn's disease and celiac disease"	2
"Digit length ratio"	2
"Dilated cardiomyopathy"	2
"Drug-induced liver injury (amoxicillin-clavulanate)"	2
"Duodenal ulcer"	2
"Epirubicin-induced leukopenia"	2
"Epstein-Barr virus immune response (EBNA-1)"	2
"Essential tremor"	2
"Exfoliation glaucoma or exfoliation syndrome"	2
"Fat body mass"	2
"Femoral neck bone geometry"	2
"Fetal hemoglobin levels in sickle cell anemia"	2
"Forced expiratory volume in 1 second"	2
"Fractional exhaled nitric oxide levels"	2
"Fuchs's corneal dystrophy"	2
"Functional MRI"	2
"Gastric cancer"	2
"Glaucoma (high intraocular pressure)"	2
"Hand grip strength"	2
"Handedness"	2
"HbA2 levels"	2
"Hearing impairment"	2
"Height adjusted BMI"	2
"Helicobacter pylori serologic status"	2
"Hepatocellular carcinoma (hepatitis B virus related)"	2
"Hereditary hemochromatosis-related traits (HFE mutation homozygotes)"	2
"IgE levels in asthmatics (D.f. specific)"	2
"IgG levels"	2
"Interleukin-18 levels"	2
"Intracranial volume"	2
"Large B-cell lymphoma"	2
"Left ventricular mass"	2
"Life threatening arrhythmia"	2
"Lobular breast cancer (menopausal hormone therapy interaction)"	2
"Lung Cancer (DNA repair capacity)"	2
"Lung cancer (smoking interaction)"	2
"Lung cancer-asbestos exposure interaction"	2
"Lymphocyte counts"	2
"Mean forced vital capacity from 2 exams"	2
"Medication adherence in chronic diseases"	2
"Mesial temporal lobe epilepsy with hippocampal sclerosis"	2
"Mixed cryoglobulinemia vasculitis in chronic hepatitis C infection"	2
"Myopia (severe)"	2
"Narcolepsy (onset before 2009 H1N1 influenza pandemic)"	2
"Nephrotic syndrome (acquired)"	2
"Neuropathic pain in type 2 diabetes"	2
"Neutrophil count in HIV-infection"	2
"Nicotine glucouronidation"	2
"Obesity and osteoporosis"	2
"Orofacial clefts (interaction)"	2
"Paraoxonase activity"	2
"Plasma cystastin c levels in acute coronary syndrome"	2
"Primary sclerosing cholangitis"	2
"Protein biomarker"	2
"Prothrombin time"	2
"Puberty onset"	2
"Puberty onset (breast development)"	2
"Pulmonary artery enlargement in chronic obstructive pulmonary disease"	2
"Reading or mathematical ability"	2
"Red vs. non-red hair color"	2
"Red wine liking"	2
"Response to dabigatran etexilate treatment"	2
"Response to haloperidol in psychosis"	2
"Response to inhaled glucocorticoid treatment in asthma (percentage change of FEV1)"	2
"Response to interferon beta therapy"	2
"Response to irinotecan in non-small-cell lung cancer"	2
"Response to methotrexate in rheumatoid arthritis"	2
"Response to protease inhibitor treatment in hepatitis c (peak serum total bilirubin levels)"	2
"Resting oxygen saturation in chronic osbtructive pulmonary disease (pulse oxymetry)"	2
"Retinal arteriolar caliber"	2
"Retinol levels"	2
"Sagittal craniosynostosis"	2
"Schizophrenia (age at onset)"	2
"Sclerosing cholangitis and ulcerative colitis (combined)"	2
"Self-employment"	2
"Sepsis from pneumonia (survival)"	2
"Serum lipase activity"	2
"Shingles"	2
"Sleep depth"	2
"Speech perception in dyslexia"	2
"Spontaneous preterm birth (preterm delivery)"	2
"Thyrotoxic hypokalemic periodic paralysis"	2
"Tooth agenesis (mandibular third molar)"	2
"Type 2 diabetes (young onset) and obesity"	2
"Ulcerative colitis or Crohn's disease"	2
"Underweight status"	2
"Urinary albumin excretion rate in type 1 diabetes"	2
"Vaccine-related adverse events"	2
"White matter hyperintensity burden"	2
"White wine liking"	2
"5-HTT brain serotonin transporter levels"	1
"Acute lymphoblastic leukemia (adolescents and young adults)"	1
"Adolescent idiopathic scoliosis (severe)"	1
"Adverse response to aromatase inhibitors"	1
"Adverse response to carbamapezine"	1
"Age-related macular degeneration (CNV vs. GA)"	1
"Age-related macular degeneration (wet)"	1
"Aggressive periodontitis (sex interaction)"	1
"Airway hyperresponsiveness"	1
"Allergic rhinitis in asthma"	1
"Alloimmunization response to red blood cell transfusion in sickle cell anemia"	1
"Amyotrophic lateral sclerosis or frontotemporal dementia"	1
"Anterior chamber depth"	1
"Anti-cyclic Citrullinated Peptide Antibody"	1
"Antinuclear antibody levels"	1
"Antipsychotic drug-induced weight gain"	1
"Aortic stiffness"	1
"Aortic-valve calcification"	1
"Arterial stiffness"	1
"Asparaginase hypersensitivity in acute lymphoblastic leukemia"	1
"Aspartate aminotransferase"	1
"Aspirin exacerbated respiratory disease in asthmatics"	1
"Aspirin hydrolysis (plasma)"	1
"Atopy"	1
"Attention deficit hyperactivity disorder motor coordination"	1
"B cell non-Hodgkin lymphoma"	1
"Beta-trace protein levels"	1
"Bilirubin levels in extreme obesity"	1
"Binge eating behaviour in bipolar disorder"	1
"Bipolar disorder (mania)"	1
"Bitter taste response"	1
"Blue vs. brown eyes"	1
"Body mass in chronic obstructive pulmonary disease"	1
"Bone mineral density (wrist)"	1
"Borderline personality disorder features"	1
"Brachial circumference"	1
"Breast cancer in BRCA2 mutation carriers"	1
"Bronchodilator response in asthma"	1
"C4b binding protein levels"	1
"Cardiovascular heart disease in diabetics"	1
"Cerivastatin-induced rhabdomyolysis"	1
"Change in intraocular pressure in response to steroid treatment (triamcinolone acetonide)"	1
"Cholelithiasis-related traits in sickle cell anemia"	1
"Cholesterol"	1
"Cholesterol and Triglycerides"	1
"Chronic bronchitis in chronic obstructive pulmonary disease"	1
"Circulating cell-free DNA"	1
"Cleft plate (environmental tobacco smoke interaction)"	1
"Clubfoot"	1
"Cold medicine related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS-TEN) with severe mucosal involvement"	1
"Congenital left-sided heart lesions (maternal effect)"	1
"Coronary arterial lesions in patients with Kawasaki disease"	1
"Coronary heart disease event reduction in response to statin therapy (interaction)"	1
"Coronary restenosis"	1
"Coronary spasm"	1
"Cortical structure (interaction)"	1
"Crohn's disease (time to surgery)"	1
"Crohn's disease and sarcoidosis (combined)"	1
"Cystatin C"	1
"Cystic fibrosis-related diabetes"	1
"Dermatomyositis"	1
"Developmental dysplasia of the hip"	1
"Diabetes (incident)"	1
"Diabetic nephropathy in type 1 diabetes"	1
"Diabetic retinopathy in type 2 diabetes"	1
"Drug-induced liver injury"	1
"Drug-induced torsades de pointes"	1
"E-selectin levels"	1
"End-stage renal disease"	1
"End-stage renal disease (non-diabetic)"	1
"End-stage renal disease in Type 1 diabetics"	1
"Endothelial function traits"	1
"Enteric fever"	1
"Episodic memory"	1
"Esophageal squamous cell cancer (length of survival)"	1
"Exhaled carbon monoxide levels"	1
"Facial morphology"	1
"Fasting plasma glucose (childhood)"	1
"Gallstones"	1
"Glaucoma (exfoliation)"	1
"Glioblastoma"	1
"Glomerulosclerosis"	1
"Handedness in dyslexia"	1
"Haptoglobin levels"	1
"HDL Cholesterol in HIV-infection"	1
"High serum lipase activity"	1
"Hip bone size"	1
"Hippocampal sclerosis of aging"	1
"HIV-1 progression"	1
"HIV-1 replication"	1
"Homoarginine levels"	1
"HPV seropositivity"	1
"IFN-related cytopenia"	1
"IgA levels"	1
"Inflammatory biomarkers in Kawasaki disease"	1
"Intracerebral hemorrhage"	1
"Iris color"	1
"Iron deficiency"	1
"Iron levels"	1
"Job-related exhaustion"	1
"Kashin-Beck disease"	1
"Kidney stones"	1
"L-arginine levels"	1
"LDL (oxidized)"	1
"Lean body mass and age at menarche (combined)"	1
"Leishmaniasis (visceral)"	1
"Lipid levels in hepatitis C treatment"	1
"Lumiracoxib-related liver injury"	1
"Major CVD"	1
"Major mood disorders"	1
"Mathematical ability in children with dyslexia"	1
"Memory performance"	1
"Meningioma"	1
"Meningococcal disease"	1
"Methamphetamine dependence"	1
"Methotrexate clearance (acute lymphoblastic leukemia)"	1
"Morphine dose requirement in tonsillectomy and adenoidectomy surgery"	1
"Moyamoya disease"	1
"Multiple sclerosis or amyotrophic lateral sclerosis"	1
"Myeloproliferative neoplasms"	1
"Myocardial infarction in coronary artery disease"	1
"Neuranatomic and neurocognitive phenotypes"	1
"Neuroblastoma (high-risk)"	1
"Odorant perception (&beta;-damascenone)"	1
"Odorant perception (&beta;-ionone)"	1
"Odorant perception (isobutyraldehyde)"	1
"Osteoarthritis (hand, severe)"	1
"Osteonecrosis of the jaw"	1
"Otitis media (chronic/recurrent)"	1
"Otosclerosis"	1
"Parkinson's disease (familial)"	1
"Peanut allergy"	1
"Pericardial fat"	1
"Platelet function and related traits"	1
"Premature ovarian failure"	1
"Progranulin levels"	1
"Psychosis (methamphetamine induced)"	1
"Puberty onset (genital enlargement)"	1
"Pulmonary arterial hypertension (without BMPR2 mutations)"	1
"Pulmonary artery enlargement and chronic obstructive pulmonary disease"	1
"Pulse pressure in young-onset hypertension"	1
"Recombination measurement (females)"	1
"Recombination measurement (males)"	1
"Recombination rate (females)"	1
"Recombination rate (males)"	1
"Red vs non-red hair color"	1
"Response to clopidogrel therapy"	1
"Response to Dalcetrapib treatment in acute coronary syndrome"	1
"Response to diuretic therapy in hypertension"	1
"Response to metformin"	1
"Response to metformin in type 2 diabetes (glycemic)"	1
"Response to protease inhibitor treatment in hepatitis c (bilirubin toxicity)"	1
"Response to radiotherapy in prostate cancer (toxicity)"	1
"Response to tamoxifen in breast cancer"	1
"Response to temozolomide"	1
"Response to thiopurine immunosuppressants in inflammatory bowel disease (pancreatitis) (azathioprine and mercaptopurine)"	1
"Ribavirin-induced anemia"	1
"Schizophrenia (cytomegalovirus infection interaction)"	1
"Serum ceruloplasmin levels"	1
"Serum ferritin levels"	1
"Serum IgA levels"	1
"Serum IgE levels"	1
"Serum VEGFR2 concentration"	1
"Small-cell lung cancer (survival)"	1
"Soluble E-selectin levels"	1
"Soluble leptin receptor levels"	1
"Spine bone size"	1
"Squamous cell carcinoma"	1
"Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)"	1
"Substance dependence"	1
"Suicidal ideation in depression or bipolar disorder"	1
"Tardive dyskinesia"	1
"Temporomandibular joint disorders"	1
"Thoracic aortic aneurysms and dissections"	1
"Thyroid cancer (Papillary, radiation-related)"	1
"Tooth agenesis (third molar)"	1
"Urinary symptoms in response to radiotherapy in prostate cancer"	1
"Vascular dementia"	1
"Vaspin levels"	1
"Vitiligo (non-segmental)"	1
"Yang-deficiency constitution"	1
"YKL-40 levels"	1
