Series.Code,Topic,Indicator.Name,Short.definition,Long.definition,Unit.of.measure,Periodicity,Base.Period,Other.notes,Aggregation.method,Limitations.and.exceptions,Notes.from.original.source,General.comments,Source,Statistical.concept.and.methodology,Development.relevance,Related.source.links,Other.web.links,Related.indicators,License.Type
SL.TLF.0714.MA.ZS,Social Protection & Labor: Economic activity,"Children in employment, male (% of male children ages 7-14)",,Children in employment refer to children involved in economic activity for at least one hour in the reference week of the survey.,,Annual,,,,"Data are from household surveys by the International Labor Organization (ILO), the United Nations Children's Fund (UNICEF), the World Bank, and national statistical offices. The surveys yield data on education, employment, health, expenditure, and consumption indicators related to children's work. Household survey data generally include information on work type - for example, whether a child is working for payment in cash or in kind or is involved in unpaid work, working for someone who is not a member of the household, or involved in any type of family work (on the farm or in a business). Although efforts are made to harmonize the definition of employment and the questions on employment in survey questionnaires, significant differences remain in the survey instruments that collect data on children in employment and in the sampling design underlying the surveys. Differences exist not only across different household surveys in the same country but also across the same type of survey carried out in different countries, so estimates of working children are not fully comparable across countries.",,"The time series may not be comparable across countries and over time due to differences in survey instruments and survey type. For detailed source information, see footnotes at each data point.","Understanding Children's Work project based on data from ILO, UNICEF and the World Bank.","The data refer to children's work in the sense of ""economic activity"" - that is, children in employment, a broader concept than child labor (see ILO 2009a for details on this distinction).

In line with the definition of economic activity adopted by the 13th International Conference of Labour Statisticians, the threshold set by the 1993 UN System of National Accounts for classifying a person as employed is to have been engaged at least one hour in any activity relating to the production of goods and services during the reference period. Children seeking work are thus excluded. Economic activity covers all market production and certain nonmarket production, including production of goods for own use. It excludes unpaid household services (commonly called ""household chores"") - that is, the production of domestic and personal services by household members for a household's own consumption.

Country surveys define the ages for child labor as 5-17. The data here have been recalculated to present statistics for children ages 7-14.","In most countries more boys are involved in employment, or the gender difference is small. However, girls are often more present in hidden or underreported forms of employment such as domestic service, and in almost all societies girls bear greater responsibility for household chores in their own homes, work that lies outside the System of National Accounts production boundary and is thus not considered in estimates of children's employment.",,,,Open
SL.TLF.ACTI.1524.FE.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, female (%) (national estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.ACTI.1524.FE.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.1524.FE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.1524.MA.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, male (%) (national estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.ACTI.1524.MA.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.1524.MA.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.1524.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, total (%) (national estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.ACTI.1524.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.1524.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",,Labor force participation rate for ages 15-24 is the proportion of the population ages 15-24 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.ACTI.FE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,,"International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Data on employment and unemployment are based on nationally reported data, and caution should be used when comparing the labor force participation rate against employment and unemployment data.

National estimates (SL.TLF.ACTI.FE.NE.ZS) are also available in the WDI database. The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.ACTI.MA.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,,"International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Data on employment and unemployment are based on nationally reported data, and caution should be used when comparing the labor force participation rate against employment and unemployment data.

National estimates (SL.TLF.ACTI.MA.NE.ZS) are also available in the WDI database. The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.ACTI.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15-64 that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Data on employment and unemployment are based on nationally reported data, and caution should be used when comparing the labor force participation rate against employment and unemployment data.","International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Data on employment and unemployment are based on nationally reported data, and caution should be used when comparing the labor force participation rate against employment and unemployment data.

The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.CACT.FE.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.CACT.FE.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.CACT.FE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. 

National estimates are also available in the WDI database. The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.CACT.FM.NE.ZS,Social Protection & Labor: Labor force structure,Ratio of female to male labor force participation rate (%) (national estimate),,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.CACT.FM.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.CACT.FM.ZS,Social Protection & Labor: Labor force structure,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.CACT.MA.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, male (% of male population ages 15+) (national estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.CACT.MA.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.CACT.MA.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. 

National estimates are also available in the WDI database. The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.CACT.NE.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,,,Data are based on national surveys or censuses and may differ from the ILO estimates (SL.TLF.CACT.ZS).,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.CACT.ZS,Social Protection & Labor: Labor force structure,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",,Labor force participation rate is the proportion of the population ages 15 and older that is economically active: all people who supply labor for the production of goods and services during a specified period.,,Annual,,,Weighted average,"Data on the labor force are compiled by the ILO from labor force surveys, censuses, establishment censuses and surveys, and administrative records such as employment exchange registers and unemployment insurance schemes. For some countries a combination of these sources is used. Labor force surveys are the most comprehensive source for internationally comparable labor force data. They can cover all non-institutionalized civilians, all branches and sectors of the economy, and all categories of workers, including people holding multiple jobs. By contrast, labor force data from population censuses are often based on a limited number of questions on the economic characteristics of individuals, with little scope to probe. The resulting data often differ from labor force survey data and vary considerably by country, depending on the census scope and coverage. Establishment censuses and surveys provide data only on the employed population, not unemployed workers, workers in small establishments, or workers in the informal sector.

The reference period of a census or survey is another important source of differences: in some countries data refer to people's status on the day of the census or survey or during a specific period before the inquiry date, while in others data are recorded without reference to any period. In developing countries, where the household is often the basic unit of production and all members contribute to output, but some at low intensity or irregularly, the estimated labor force may be much smaller than the numbers actually working.

Differing definitions of employment age also affect comparability. For most countries the working age is 15 and older, but in some countries children younger than 15 work full- or part-time and are included in the estimates. Similarly, some countries have an upper age limit. As a result, calculations may systematically over- or underestimate actual rates.",,"The labor force participation rates presented here are the ILO estimates from the ILO's Key Indicators of the Labour Market database and may differ from national estimates. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. Caution should be used when comparing ILO estimates against national estimates.","International Labour Organization, Key Indicators of the Labour Market database.","The labor force is the supply of labor available for producing goods and services in an economy. It includes people who are currently employed and people who are unemployed but seeking work as well as first-time job-seekers. Not everyone who works is included, however. Unpaid workers, family workers, and students are often omitted, and some countries do not count members of the armed forces. Labor force size tends to vary during the year as seasonal workers enter and leave. Usually active population is measured in relation to a long reference period such as a year, and the currently active population (labor force) is measured in relation to a short reference period such as one day or one week.

The labor force participation rates are the ILO estimates the International Labour Organization from the ILO's Key Indicators of the Labour Market database. The series includes both nationally reported and imputed data. These harmonized estimates use strict data selection criteria and enhanced methods to ensure comparability across countries and over time to avoid the inconsistencies mentioned resulting from data source, definition, reference period, coverage, and age group. Estimates are based mainly on nationally representative labor force surveys, with other sources (population censuses and nationally reported estimates) used only when no survey data are available. 

National estimates are also available in the WDI database. The data are mostly estimated by the ILO, and may differ from national estimates.","Estimates of women in the labor force and employment are generally lower than those of men and are not comparable internationally, reflecting that demographic, social, legal, and cultural trends and norms determine whether women's activities are regarded as economic. In many countries many women work on farms or in other family enterprises without pay, and others work in or near their homes, mixing work and family activities during the day. Labor force statistics by gender is important to monitor gender disparities in employment patterns.",,,,Open
SL.TLF.PART.FE.ZS,Social Protection & Labor: Economic activity,"Part time employment, female (% of total female employment)",,Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,,Annual,,,Weighted average,,,Relevance to gender indicator: More and more women are working part-time and one of the concern is that part time work does not provide the stability that full time work does.,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.PART.MA.ZS,Social Protection & Labor: Economic activity,"Part time employment, male (% of total male employment)",,Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,,Annual,,,Weighted average,,,Relevance to gender indicator: More and more women are working part-time and one of the concern is that part time work does not provide the stability that full time work does.,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
SL.TLF.PART.TL.FE.ZS,Social Protection & Labor: Economic activity,"Part time employment, female (% of total part time employment)",,Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,,Annual,,,Weighted average,"There is no official ILO definition of full-time work, so the definition of part-time workers differs across countries, and thus comparisons should be made with caution.",,,"International Labour Organization, Key Indicators of the Labour Market database.",,"Women’s wage work is important for economic growth and the well-being of families. But women often face such obstacles as restricted access to credit markets, capital, land, and training and education; time constraints due to traditional family responsibilities; and labor market bias and discrimination. These obstacles force women to limit their full participation in paid economic activities, to be less productive, and to receive lower wages. More women than men are in unpaid family employment and part-time employment. And men and women have different occupational distributions.",,,,Open
SL.TLF.PART.ZS,Social Protection & Labor: Economic activity,"Part time employment, total (% of total employment)",,Part time employment refers to regular employment in which working time is substantially less than normal. Definitions of part time employment differ by country.,,Annual,,,Weighted average,,,Relevance to gender indicator: More and more women are working part-time and one of the concern is that part time work does not provide the stability that full time work does.,"International Labour Organization, Key Indicators of the Labour Market database.",,,,,,Open
